"Name","Example","Type","Min","Max","Default","Description"
"Air_Migration_Filename","[link](../json/config-input-hiv_air_migration_filename.json)","string","NA","NA","""""","The path to the input file that defines patterns of migration by airplane. **Enable_Air_Migration** must be set to true (1). See :doc:`software-migration` for information on migration files."
"Campaign_Filename","[link](../json/config-input-hiv_campaign_filename.json)","string","NA","NA"," ","The path to the campaign file. It is required when interventions are part of the simulation and **Enable_Interventions** is set to true (1). The file must be in .json format."
"Demographics_Filename","","string","NA","NA","UNINITIALIZED STRING","DEPRECATED: Path of demographics file containing information on the identity and demographics of the region to simulate. Use **Demographics_Filenames** instead."
"Demographics_Filenames","[link](../json/config-input-hiv_demographics_filenames.json)","array of strings","NA","NA","[]","An array of the paths to demographics files containing information on the identity and demographics of the region to simulate. The files must be in .json format. Note that this parameter is only required when **Enable_Demographics_Builtin** is set to 0."
"Family_Migration_Filename","[link](../json/config-input-hiv_family_migration_filename.json)","string","NA","NA","""""","The name of the binary file to use to configure family migration. **Enable_Family_Migration** must be set to true (1). See :doc:`software-migration` for information on migration files."
"Load_Balance_Filename","[link](../json/config-input-hiv_load_balance_filename.json)","string","NA","NA","UNINITIALIZED STRING","The path to the input file used when a static load balancing scheme is selected. The file must be in .json format."
"Local_Migration_Filename","[link](../json/config-input-hiv_local_migration_filename.json)","string","NA","NA","""""","The path of the input file which defines patterns of migration to adjacent nodes by foot travel. See :doc:`software-migration` for information on migration files."
"Regional_Migration_Filename","[link](../json/config-input-hiv_regional_migration_filename.json)","string","NA","NA","""""","The path of the input file which defines patterns of migration by vehicle via road or rail network. If the node is not on a road or rail network, regional migration focuses on the closest hub city in the network. The file must be in .bin format. See :doc:`software-migration` for information on migration files."
"Sea_Migration_Filename","[link](../json/config-input-hiv_sea_migration_filename.json)","string","NA","NA","""""","The path of the input file which defines patterns of migration by ship. Only used when **Enable_Sea_Migration** is set to true (1). The file must be in .bin format. See :doc:`software-migration` for information on migration files."
"Serialized_Population_Filenames","[link](../json/config-input-hiv_serialized_population_filenames.json)","array of strings","NA","NA","NA","An array of filenames with serialized population data. The number of filenames must match the number of cores used for the simulation. The files must be in .dtk format. Serialized population files are created using **Serialization_Time_Steps**."
"Serialized_Population_Path","[link](../json/config-input-hiv_serialized_population_path.json)","string","NA","NA",".","The root path for the serialized population files. Serialized population files are created using **Serialization_Time_Steps**."
