"Name","Example","Type","Min","Max","Default","Description"
"Custom_Reports_Filename","[link](../json/213-config-hiv_custom_reports_filename.json)","string","NA","NA","UNINITIALIZED STRING","The name of the file containing custom report configuration parameters. Omitting this parameter or setting it to RunAllCustomReports will load all reporters found that are valid for the given simulation type. The file must be in JSON format."
"Heterogeneous_Infectiousness_LogNormal_Scale","[link](../json/213-config-hiv_heterogeneous_infectiousness_lognormal_scale.json)","float","0","10","0","Scale parameter of a log normal distribution that governs an infectiousness multiplier. The multiplier represents heterogeneity in infectivity and adjusts **Base_Infectivity**."
"Incubation_Period_Log_Mean","[link](../json/213-config-hiv_incubation_period_log_mean.json)","float","0","3.40E+38","6","The mean of log normal for the incubation period distribution. **Incubation_Period_Distribution** must be set to LOG_NORMAL_DURATION."
"Incubation_Period_Log_Width","[link](../json/213-config-hiv_incubation_period_log_width.json)","float","0","3.40E+38","1","The log width of log normal for the incubation period distribution. **Incubation_Period_Distribution** must be set to LOG_NORMAL_DURATION."
"Infectivity_Exponential_Baseline","[link](../json/213-config-hiv_infectivity_exponential_baseline.json)","float","0","1","0","The scale factor applied to **Base_Infectivity** at the beginning of a simulation, before the infectivity begins to grow exponentially. **Infectivity_Scale_Type** must be set to EXPONENTIAL_FUNCTION_OF_TIME."
"Infectivity_Exponential_Delay","[link](../json/213-config-hiv_infectivity_exponential_delay.json)","float","0","3.40E+38","0","The number of days before infectivity begins to ramp up exponentially. **Infectivity_Scale_Type** must be set to EXPONENTIAL_FUNCTION_OF_TIME."
"Infectivity_Exponential_Rate","[link](../json/213-config-hiv_infectivity_exponential_rate.json)","float","0","3.40E+38","0","The daily rate of exponential growth to approach to full infectivity after the delay set by **Infectivity_Exponential_Delay** has passed. **Infectivity_Scale_Type** must be set to EXPONENTIAL_FUNCTION_OF_TIME."
"Memory_Usage_Halting_Threshold_Working_Set_MB","[link](../json/213-config-hiv_memory_usage_halting_threshold_working_set_mb.json)","integer","0","1.00E+06","8000","The maximum size (in MB) of working set memory before the system throws an exception and halts."
"Memory_Usage_Warning_Threshold_Working_Set_MB","[link](../json/213-config-hiv_memory_usage_warning_threshold_working_set_mb.json)","integer","0","1.00E+06","7000","The maximum size (in MB) of working set memory before memory usage statistics are written to the log regardless of log level."
"Report_HIV_ByAgeAndGender_Add_Relationships","[link](../json/213-config-hiv_report_hiv_byageandgender_add_relationships.json)","boolean","0","1","0","Sets whether or not the ReportHIVByAgeAndGender.csv output file will contain data by relationship type on population currently in a relationship and ever in a relationship.  A sum of those in two or more partnerships and a sum of the lifetime number of relationships in each bin will be included."
"Report_HIV_ByAgeAndGender_Add_Transmitters","[link](../json/213-config-hiv_report_hiv_byageandgender_add_transmitters.json)","boolean","0","1","0","When Set to to true (1), the ""transmitters"" column is included in the output report.  For a given row, ""Transmitters"" indicates how many people that have transmitted the disease meet the specifications of that row."
"Report_HIV_ByAgeAndGender_Collect_Age_Bins_Data","[link](../json/213-config-hiv_report_hiv_byageandgender_collect_age_bins_data.json)","array of floats","-3.40282e+38","3.40282e+38","1","This array of floats allows the user to define the age bins used to stratify the report by age. Each value defines the minimum value of that bin, while the next value defines the maximum value of the bin. The maximum number of age bins is 100. <br> For example, if you had:<br> <br> ""Report_HIV_ByAgeAndGender_Collect_Age_Bins_Data"" : [ 0, 10, 20, 50, 100 ]<br> <br> The report would have the following age bins: From 0 up to (but not including) 10, from 10 up to (but not including) 20, from 20 up to (but not including) 50, from 50 up to (but not including) 100, and 100 and over. <br> <br> If no values are specified in the array, then the output report will have no age binning."
"Report_HIV_ByAgeAndGender_Collect_Gender_Data","[link](../json/213-config-hiv_report_hiv_byageandgender_collect_gender_data.json)","boolean","0","1","0","Controls whether or not the report is stratified by gender; to enable gender stratification, set to true (1)."
"Report_HIV_ByAgeAndGender_Collect_Intervention_Data","[link](../json/213-config-hiv_report_hiv_byageandgender_collect_intervention_data.json)","array of strings","NA","NA","NA","Stratifies the population by adding a column of 0s and 1s depending on whether or not the person has the indicated intervention. This only works for interventions that remain with a person for a period of time, such as ART, VMMC, vaccine/PrEP, or a delay state in the cascade of care. You can name the intervention by adding a parameter **Intervention_Name** in the campaign file, and then give this parameter the same **Intervention_Name**. This allows you to have multiple types of vaccines, VMMCs, etc., but to only stratify on the type you want."
"Serialization_Time_Steps","[link](../json/213-config-hiv_serialization_time_steps.json)","array of integers","0","2.15E+09","","The list of time steps after which to save the serialized state. 0 (zero) indicates the initial state before simulation, n indicates after the nth time step. By default, no serialized state is saved."
"Serialized_Population_Filenames","[link](../json/213-config-hiv_serialized_population_filenames.json)","array of strings","NA","NA","NA","Array of filenames with serialized population data. The number of filenames must match the number of cores used for the simulation. The file must be in .dtk format."
"Serialized_Population_Path","[link](../json/213-config-hiv_serialized_population_path.json)","string ","NA","NA",".","The root path for the serialized population files."
