"Name","Example","Description","Type","Min","Max","Default"
"Base_Sensitivity","[link](../json/campaign-immunitybloodtest_base_sensitivity.json)","The sensitivity of the diagnostic. This sets the proportion of the time that individuals with the condition being tested receive a positive diagnostic test. When set to zero, then individuals who have the condition always receive a false-negative diagnostic test.","float","0","1","1"
"Base_Specificity","[link](../json/campaign-immunitybloodtest_base_specificity.json)","The specificity of the diagnostic. This sets the proportion of the time that individuals without the condition being tested receive a negative diagnostic test. When set to 1, the diagnostic always accurately reflects the lack of having the condition. When set to zero, then individuals who do not have the condition always receive a false-positive diagnostic test.","float","0","1","1"
"Cost_To_Consumer","[link](../json/campaign-immunitybloodtest_cost_to_consumer.json)","The unit 'cost' assigned to the diagnostic. Setting Cost_To_Consumer to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","float","0","3.40282e+38","1"
"Days_To_Diagnosis","[link](../json/campaign-immunitybloodtest_days_to_diagnosis.json)","The number of days from diagnosis (which is done when the intervention is distributed) until a positive response is performed. The response to a negative diagnosis is done immediately when the diagnosis is made (at distribution of the intervention).","float","0","3.40282e+38","0"
"Disqualifying_Properties","[link](../json/campaign-immunitybloodtest_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-immunitybloodtest_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"Enable_Is_Symptomatic","[link](../json/campaign-immunitybloodtest_enable_is_symptomatic.json)","If true (1), requires an infection to be symptomatic to return a positive test.","boolean","0","1","0"
"Intervention_Name","[link](../json/campaign-immunitybloodtest_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","ImmunityBloodTest"
"Negative_Diagnosis_Event","[link](../json/campaign-immunitybloodtest_negative_diagnosis_event.json)","If an individual tests negative (does not have immunity), then an individual type event is broadcast; custom individual events can be defined in the config parameter **Custom_Individual_Events**. This may trigger another intervention when the event occurs.","enum","NA","NA",""""""
"New_Property_Value","[link](../json/campaign-immunitybloodtest_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways.","string","NA","NA",""""""
"Positive_Diagnosis_Event","[link](../json/campaign-immunitybloodtest_positive_diagnosis_event.json)","If the test is positive (has immunity), then an individual type event is broadcast; custom individual events can be defined in the config parameter **Custom_Individual_Events**. This may trigger another intervention when the event occurs.","enum","NA","NA",""""""
"Positive_Threshold_Acquisition_Immunity","[link](../json/campaign-immunitybloodtest_positive_threshold_acquisition_immunity.json)","Specifies the threshold for acquired immunity, where 1 equals 100% immunity and 0 equals 100% susceptible.","float","0","1","1"
"Treatment_Fraction","[link](../json/campaign-immunitybloodtest_treatment_fraction.json)","The fraction of positive diagnoses that are treated.","float","0","1","1"
