"Name","Example","Description","Type","Min","Max","Default"
"CD4_At_Death_LogLogistic_Heterogeneity","[link](../json/config-weibull-hiv_cd4_at_death_loglogistic_heterogeneity.json)","The inverse shape parameter of a Weibull distribution that represents the at-death CD4 cell count.","float","0","100","0"
"CD4_At_Death_LogLogistic_Scale","[link](../json/config-weibull-hiv_cd4_at_death_loglogistic_scale.json)","The scale parameter of a :term:`Weibull distribution` that represents the at-death CD4 cell count.","float","1","1000","31.63"
"CD4_Post_Infection_Weibull_Heterogeneity","[link](../json/config-weibull-hiv_cd4_post_infection_weibull_heterogeneity.json)","The inverse shape parameter of a :term:`Weibull distribution` that represents the post-acute-infection CD4 cell count.","float","0","100","0.275642"
"CD4_Post_Infection_Weibull_Scale","[link](../json/config-weibull-hiv_cd4_post_infection_weibull_scale.json)","The scale parameter of a :term:`Weibull distribution` that represents the post-acute-infection CD4 cell count.","float","1","1000","560.432"
"Days_Between_Symptomatic_And_Death_Weibull_Heterogeneity","[link](../json/config-weibull-hiv_days_between_symptomatic_and_death_weibull_heterogeneity.json)","The time between the onset of AIDS symptoms and death is sampled from a Weibull distribution; this parameter governs the heterogeneity (inverse shape) of the Weibull.","float","0.1","10","1"
"Days_Between_Symptomatic_And_Death_Weibull_Scale","[link](../json/config-weibull-hiv_days_between_symptomatic_and_death_weibull_scale.json)","The time between the onset of AIDS symptoms and death is sampled from a Weibull distribution; this parameter governs the scale of the Weibull.","float","1","3650","183"
"HIV_Adult_Survival_Scale_Parameter_Intercept","[link](../json/config-weibull-hiv_hiv_adult_survival_scale_parameter_intercept.json)","This parameter determines the intercept of the scale parameter, ?, for the Weibull distribution used to determine HIV survival time.<br> <br> Survival time with untreated HIV infection depends on the age of the individual at the time of infection, and is drawn from a Weibull distribution with shape parameter (see **HIV_Adult_Survival_Shape_Parameter**)  and scale parameter, ?. The scale parameter is allowed to vary linearly with age as follows: <br> <br> $\\lambda$ = **HIV_Adult_Survival_Scale_Parameter_Intercept** + **HIV_Adult_Survival_Scale_ Parameter_Slope** * Age (in years).","float","0.001","1000","21.182"
"HIV_Adult_Survival_Scale_Parameter_Slope","[link](../json/config-weibull-hiv_hiv_adult_survival_scale_parameter_slope.json)","This parameter determines the slope of the scale parameter, ?, for the Weibull distribution used to determine HIV survival time.<br> <br> Survival time with untreated HIV infection depends on the age of the individual at the time of infection, and is drawn from a Weibull distribution with shape parameter (see **HIV_Adult_Survival_Shape_Parameter**) and scale parameter, ?. The scale parameter is allowed to vary linearly with age as follows: <br> <br> $\\lambda$ = **HIV_Adult_Survival_Scale_Parameter_Intercept** + **HIV_Adult_Survival_Scale_ Parameter_Slope** * Age (in years). <br> <br> Because survival time with HIV becomes shorter with increasing age, **HIV_Adult_Survival_Scale_ Parameter_Slope** should be set to a negative number.","float","-1000","1000","-0.2717"
"HIV_Adult_Survival_Shape_Parameter","[link](../json/config-weibull-hiv_hiv_adult_survival_shape_parameter.json)","This parameter determines the shape of the Weibull distribution used to determine age-dependent survival time for individuals infected with HIV.","float","0.001","1000","2"
"HIV_Child_Survival_Slow_Progressor_Scale","[link](../json/config-weibull-hiv_hiv_child_survival_slow_progressor_scale.json)","The Weibull scale parameter describing the distribution of HIV survival for children who are slower progressors.","float","0.001","1000","16"
"HIV_Child_Survival_Slow_Progressor_Shape","[link](../json/config-weibull-hiv_hiv_child_survival_slow_progressor_shape.json)","The Weibull shape parameter describing the distribution of HIV survival for children who are slower progressors.","float","0.001","1000","2.7"
"Sexual_Debut_Age_Female_Weibull_Heterogeneity","[link](../json/config-weibull-hiv_sexual_debut_age_female_weibull_heterogeneity.json)","The inverse shape of the Weibull distribution for female debut age.","float","0","50","20"
"Sexual_Debut_Age_Female_Weibull_Scale","[link](../json/config-weibull-hiv_sexual_debut_age_female_weibull_scale.json)","The scale term of the Weibull distribution for female debut age.","float","0","50","16"
"Sexual_Debut_Age_Male_Weibull_Heterogeneity","[link](../json/config-weibull-hiv_sexual_debut_age_male_weibull_heterogeneity.json)","The inverse shape of the Weibull distribution for male debut age.","float","0","50","20"
"Sexual_Debut_Age_Male_Weibull_Scale","[link](../json/config-weibull-hiv_sexual_debut_age_male_weibull_scale.json)","The scale term of the Weibull distribution for male debut age.","float","0","50","16"
"Sexual_Debut_Age_Min","[link](../json/config-weibull-hiv_sexual_debut_age_min.json)","The minimum age at which individuals become eligible to form sexual relationships.","float","0","3.40E+38","13"
"Sexual_Debut_Age_Setting_Type","[link](../json/config-weibull-hiv_sexual_debut_age_setting_type.json)","The **WEIBULL** setting will initialize the debut age of each person using a Weibull distribution according to their gender with the **Sexual_Debut_Age_XXX_Weibull_Heterogeneity** and **Sexual_Debut_Age_XXX_Weibull_Scale** parameters. If the **FROM_INTERVENTION** setting is used the individual's debut age will not be set unless it is set by the **SetSexualDebutAge** intervention. Accepted values are WEIBULL or FROM_INTERVENTION.","enum","NA","NA","WEIBULL"
