"Name","Example","Type","Min","Max","Default","Description"
"ART_CD4_at_Initiation_Saturating_Reduction_in_Mortality","[link](../json/campaign-antiretroviraltherapyfull_art_cd4_at_initiation_saturating_reduction_in_mortality.json)","float","0","3.40282e+38","350","The duration from ART enrollment to on-ART HIV-cause death increases with CD4 at ART initiation up to a threshold determined by this parameter value. This is the maximum value that CD4 is allowed to have in the hazard ratio calculation for CD4."
"ART_Is_Active_Against_Mortality_And_Transmission","[link](../json/campaign-antiretroviraltherapyfull_art_is_active_against_mortality_and_transmission.json)","boolean","0","1","1","If set to true (1), ART will suppress viral load and extend prognosis."
"ART_Multiplier_On_Transmission_Prob_Per_Act","[link](../json/campaign-antiretroviraltherapyfull_art_multiplier_on_transmission_prob_per_act.json)","float","0","1","0.08","Multiplier acting on Base_Infectivity to determine the per-act transmission probability of a virally suppressed HIV+ individual."
"ART_Survival_Baseline_Hazard_Weibull_Scale","[link](../json/campaign-antiretroviraltherapyfull_art_survival_baseline_hazard_weibull_scale.json)","float","1e-06","1e+06","123.83","Scale parameter for a Weibull distribution of survival time in years for a male < 40 with WHO stage of 1 or 2 starting ART (base case)."
"ART_Survival_Baseline_Hazard_Weibull_Shape","[link](../json/campaign-antiretroviraltherapyfull_art_survival_baseline_hazard_weibull_shape.json)","float","0","10","0.34","Shape parameter for a Weibull distribution of survival time in years for a male < 40 with WHO stage of 1 or 2 starting ART (base case)."
"ART_Survival_Hazard_Ratio_Age_Over_40Yr","[link](../json/campaign-antiretroviraltherapyfull_art_survival_hazard_ratio_age_over_40yr.json)","float","1e-06","1e+06","1.4309","The hazard ratio comparing the survival time of those starting ART over 40 years of age compared to those starting ART <40 years."
"ART_Survival_Hazard_Ratio_Body_Weight_Kg_Intercept","[link](../json/campaign-antiretroviraltherapyfull_art_survival_hazard_ratio_body_weight_kg_intercept.json)","float","1e-06","1e+06","3.05043","The Y-intercept to use when calculating the hazard ratio for the person's body weight. <br> <br> The body weight is determined by WHO stage:<br> <br> * WHO Stage 0 = 65.0 kg<br> * WHO Stage 1-2 = 62.1 kg<br> * WHO Stage 2-3 = 57.0 kg<br> * WHO Stage 3-4 = 50.0 kg<br> * WHO Stage 4+ = 40.1 kg<br> <br> multiplier = exp(weight_slope * weight + weight_intercept)"
"ART_Survival_Hazard_Ratio_Body_Weight_Kg_Slope","[link](../json/campaign-antiretroviraltherapyfull_art_survival_hazard_ratio_body_weight_kg_slope.json)","float","1e-06","1e+06","-0.073153","The slope to use when calculating the hazard ratio for the person's body weight.<br> <br> The body weight is determined by WHO stage:<br> <br> * WHO Stage 0 = 65.0 kg<br> * WHO Stage 1-2 = 62.1 kg<br> * WHO Stage 2-3 = 57.0 kg<br> * WHO Stage 3-4 = 50.0 kg<br> * WHO Stage 4+ = 40.1 kg<br> <br> multiplier = exp(weight_slope * weight + weight_intercept)"
"ART_Survival_Hazard_Ratio_CD4_Intercept","[link](../json/campaign-antiretroviraltherapyfull_art_survival_hazard_ratio_cd4_intercept.json)","float","1e-06","1e+06","0.282852","The Y-intercept to use when calculating the hazard ratio for the person based on their CD4 count.<br> <br> multiplier = exp(cd4_slope * cd4 + cd4_intercept)"
"ART_Survival_Hazard_Ratio_CD4_Slope","[link](../json/campaign-antiretroviraltherapyfull_art_survival_hazard_ratio_cd4_slope.json)","float","1e-06","1e+06","-0.00758256","The slope value to sue when calculating the hazard for for the person based on their CD4 count.<br> <br> multiplier = exp(cd4_slope * cd4 + cd4_intercept)"
