"Name","Example","Type","Min","Max","Default","Description"
"Adult_By_Pregnant","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_adult_by_pregnant.json)","json object","NA","NA","NA","Determines the WHO stage at or above which pregnant adults are eligible for ART.<br> This parameter uses InterpolatedValueMap to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years."
"Adult_By_TB","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_adult_by_tb.json)","json object","NA","NA","NA","Determines the WHO stage at or above which adults having active TB (via individual property Has_Active_TB) are eligible for ART.<br> This parameter uses InterpolatedValueMap to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years."
"Adult_By_WHO_Stage","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_adult_by_who_stage.json)","json object","NA","NA","NA","Determines the WHO stage at or above which adults are eligible for ART.<br> This parameter uses InterpolatedValueMap to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years."
"Adult_Treatment_Age","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_adult_treatment_age.json)","float","-1","3.40282e+38","5","The age (in years) that delineates adult patients from pediatric patients for the purpose of treatment eligibility. Patients younger than this age may be eligible on the basis of their pediatric patient status."
"Child_By_TB","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_child_by_tb.json)","json object","NA","NA","NA","Determines the WHO stage at or above which children having active TB (via individual property **Has_Active_TB**) are eligible for ART.<br> This parameter uses **InterpolatedValueMap** to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years."
"Child_By_WHO_Stage","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_child_by_who_stage.json)","json object","NA","NA","NA","Determines the WHO stage at or above which children are eligible for ART.<br> This parameter uses **InterpolatedValueMap** to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years."
"Child_Treat_Under_Age_In_Years_Threshold","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_child_treat_under_age_in_years_threshold.json)","json object","NA","NA","NA","Determines the age at which children are eligible for ART regardless of CD4, WHO stage, or other factors.<br> This parameter uses **InterpolatedValueMap** to define **Times** (by year) and **Values** for the history and expected treatment guidelines for future years."
"Cost_To_Consumer","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_cost_to_consumer.json)","float","0","3.40282e+38","1","The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation."
"Disqualifying_Properties","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_disqualifying_properties.json)","array of strings","NA","NA","[]","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
"Dont_Allow_Duplicates","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_dont_allow_duplicates.json)","boolean","0","1","0","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
"Individual_Property_Active_TB_Key","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_individual_property_active_tb_key.json)","string","NA","NA","UNINITIALIZED","The **IndividualProperty** key ('HasActiveTB') used to determine whether the individual has TB."
"Individual_Property_Active_TB_Value","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_individual_property_active_tb_value.json)","string","NA","NA","UNINITIALIZED","The **IndividualProperty** value ('Yes') used to determine whether the individual has TB."
"Intervention_Name","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_intervention_name.json)","string","NA","NA","HIVARTStagingCD4AgnosticDiagnostic","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class."
"Negative_Diagnosis_Event","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_negative_diagnosis_event.json)","enum","NA","NA","""""","If an individual tests negative, this specifies an event that may trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values."
"New_Property_Value","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_new_property_value.json)","string","NA","NA","""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one."
"Positive_Diagnosis_Event","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_positive_diagnosis_event.json)","enum","NA","NA","""""","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. See :doc:`parameter-campaign-event-list` for possible values."
"Times","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_times.json)","array of floats","0","999999","[]","An array of years to match the defined **Values**; used with parameters **Adult_By_Pregnant**, **Adult_By_TB**, **Adult_By_WHO_Stage**, **Child_By_TB**, **Child_By_WHO_Stage**, and **Child_Treat_Under_Age_In_Years_Threshold**."
"Values","[link](../json/campaign-hivartstagingcd4agnosticdiagnostic_values.json)","array of floats","0","3.40282e+38","[]","An array of values to match the defined **Times**; used with parameters **Adult_By_Pregnant**, **Adult_By_TB**, **Adult_By_WHO_Stage**, **Child_By_TB**, **Child_By_WHO_Stage**, and **Child_Treat_Under_Age_In_Years_Threshold**."
